CAProduction,Konami Digital Entertainment
Raven Software,Activision
Midway,Midway Games
From Software,Sony Computer Entertainment
Black Rock Studio,Disney Interactive Studios
Cyan Worlds,Red Orb
THQ,THQ
Rainbow Studios,Sony Computer Entertainment
Black Box,Electronic Arts
Bullfrog Productions,Electronic Arts
Konami Computer Entertainment Hawaii,Konami Digital Entertainment
Techland,Deep Silver
Heavy Iron Studios,THQ
Frontier Developments,Microsoft Game Studios
GREZZO,Nintendo
Rare Ltd./BigPark,Microsoft Game Studios
ArenaNet,NCSoft
WB Games Montreal,Warner Bros. Interactive Entertainment
HAL Labs/Creatures Inc.,Nintendo
Backbone Entertainment,Sega
Sega,Sega
Exakt,Activision
TT Games,Warner Bros. Interactive Entertainment
2K Marin,Take-Two Interactive
5TH Cell,Warner Bros. Interactive Entertainment
Beenox,Activision
Amaze Entertainment,Activision
Bizarre Creations,Microsoft Game Studios
Omega Force,Tecmo Koei
Visceral Games,Electronic Arts
Blue Planet Software,THQ
Matrix Software,Square Enix
Full Fat,Electronic Arts
Helixe,THQ
EA Vancouver,Electronic Arts
Ubisoft Montpellier,Ubisoft
ChunSoft,Nintendo
Midway Studios - San Diego,Midway Games
Acquire,Activision
h.a.n.d. Inc.,Square Enix
Ghost Games,Electronic Arts
Check Six Games,Universal Interactive
PLAYGROUND/Playground Games,Microsoft Game Studios
Aki Corp.,Electronic Arts
Flagship/HAL Labs,Nintendo
Jellyvision,Disney Interactive Studios
Art,THQ
Irrational Games,Take-Two Interactive
Nintendo/Nd Cube,Nintendo
NanaOn-Sha,Sony Computer Entertainment
Factor 5,LucasArts
Papaya Studios,Disney Interactive Studios
SCEI,Sony Computer Entertainment
Krome Studios,LucasArts
Avalanche Studios,Square Enix
Jupiter Corporation,Square Enix
Rockstar Studios,Take-Two Interactive
Altron,Disney Interactive Studios
Creative Assembly,Sega
Sega AM2,Sega
Hangar 13,Take-Two Interactive
BudCat,Activision
Tango Gameworks,Bethesda Softworks
SCEE London Studio,Sony Computer Entertainment
Genuine Games,Vivendi Games
Team Ninja,Microsoft Game Studios
Camelot Software Planning,Nintendo
Red Storm Entertainment,Ubisoft
VIS Entertainment,Take-Two Interactive
Realtime Worlds,Microsoft Game Studios
Monolith Soft,Namco Bandai Games
Terminal Reality,Microsoft Game Studios
Ready at Dawn/SCE Santa Monica,Sony Computer Entertainment
SCE Japan Studio,Sony Computer Entertainment Europe
ArtePiazza,Nintendo
Ubisoft Reflections/Ivory Tower,Ubisoft
Tri-Ace,Ubisoft
Arkane Studios,Bethesda Softworks
3d6 Games,THQ
Magic Pockets,Ubisoft
Artefacts Studio,Mindscape
Hello Games,Hello Games
Activision,Activision Value
Griptonite Games,Electronic Arts
Webfoot Technologies,Infogrames
Farsight Studios,Warner Bros. Interactive Entertainment
Firaxis Games,Take-Two Interactive
Bandai Namco Games,Namco Bandai Games
Rebellion,LucasArts
Shaba Games,Activision
Artificial Mind and Movement,THQ
Paradigm Entertainment,Midway Games
EA Chicago,Electronic Arts
SuperMassive Games,Sony Computer Entertainment Europe
HB Studios Multimedia,THQ
EA Sports Big,Electronic Arts
Spike,Atari
Ninja Theory,Sony Computer Entertainment
EA Montreal,Electronic Arts
id Software,Bethesda Softworks
Avalanche Software,Disney Interactive Studios
Capcom Vancouver,Microsoft Game Studios
Pivotal Games,Gotham Games
MachineGames,Bethesda Softworks
2K Czech,Take-Two Interactive
Mind Candy,Activision
Naughty Dog/Sony Bend,Sony Computer Entertainment
Cavia Inc.,Capcom
The Code Monkeys,Electronic Arts
Amusement Vision,Atari
Genius Sonority Inc./Disney Interactive Studios,Disney Interactive Studios
Sports Interactive,Sega
Genki,Crave Entertainment
Blue Castle Games,Capcom
Barking Lizards,THQ
Zoe Mode,Disney Interactive Studios
Kush Games,Take-Two Interactive
Nihilistic,Activision
WayForward,THQ
Kaos Studios,THQ
Hellbent Games,Warner Bros. Interactive Entertainment
Blitz Games,Hasbro Interactive
BigPark,Microsoft Game Studios
Planet Moon Studios,Electronic Arts
Blue Byte/Related Designs,Ubisoft
EA Bright Light,Electronic Arts
Digital Extremes/2K Marin,Take-Two Interactive
Sand Grain Studios,Activision
Flagship,Nintendo
PlatinumGames,Konami Digital Entertainment
Danger Close,Electronic Arts
Barnstorm Games,Rising Star Games
Incognito Inc.,Sony Computer Entertainment
Exient Entertainment,Electronic Arts
Codemasters,Codemasters
Playground Games,Microsoft Game Studios
Arzest,Nintendo
Crytek,Microsoft Game Studios
Crystal Dynamics,Square Enix
Sega/Sonic Team,Sega
Z-Axis/Ltd.,Acclaim Entertainment
Now Production,Activision
Eidos Montreal,Square Enix
Square Enix/Think and Feel,Square Enix
The Coalition,Microsoft Game Studios
Pitbull Syndicate,Atari
Codemasters Birmingham,Codemasters
Rockstar Vienna,Take-Two Interactive
Remedy Entertainment,Microsoft Game Studios
Steel Monkeys,TDK Mediactive
Acclaim,Acclaim Entertainment
Radical Entertainment,Activision
Good-Feel,Nintendo
SCEA,Sony Computer Entertainment
Namco Bandai Games America/Namco Bandai Games,Namco Bandai Games
Creatures Inc.,Nintendo
Pocket Studios,TDK Mediactive
M2,Atari
Melbourne House,Atari
Ubisoft Sofia,Ubisoft
ZeniMax Media,Bethesda Softworks
Snowblind Studios,Sony Oznline Entertainment
Lexis Numerique/Virtual Toys,Ubisoft
Opus/Project Sora,Nintendo
Nintendo/Spike Chunsoft,Nintendo
CyberConnect2,Atari
3G Studios,Deep Silver
Tamsoft,Sony Computer Entertainment
THQ/Yuke's,THQ
Virtuos,Square Enix
Nixxes Software,Eidos Interactive
Slant Six,Sony Computer Entertainment
Tarsier Studios/Double Eleven,Sony Computer Entertainment
Spike Chunsoft Co. Ltd./Spike Chunsoft,Nintendo
Chris Sawyer,Atari
49Games,RTL
Oddworld Inhabitants,GT Interactive
High Voltage Software,D3Publisher
neo Software,Take-Two Interactive
Savage Entertainment,LucasArts
Nex Entertainment,Sega
Surreal Software,Black Label Games
Climax Group,SouthPeak Games
Locomotive Games,THQ
Nintendo/Nintendo Software Technology,Nintendo
Omega Force/Tecmo Koei Games,Namco Bandai Games
Light Weight,Sony Computer Entertainment
City Interactive,City Interactive
Vingt-et-un Systems,Take-Two Interactive
K2 LLC,Activision
Ambrella,Nintendo
Day 1 Studios,Microsoft Game Studios
Level 5/Brownie Brown,Nintendo
United Front Games,Sony Computer Entertainment
Ryu ga Gotoku Studios,Sega
Atlus,Atlus
Ruffian Games,Microsoft Game Studios
Mercury Steam,Konami Digital Entertainment
MTO,Ubisoft
EA Redwood Shores/EA Salt Lake,Electronic Arts
Sony Online Entertainment,Activision
Big Sky Software,THQ
Visual Impact,Ubisoft
Ubisoft Shanghai/Paris,Ubisoft
PopCap,Electronic Arts
Electronic Arts/Rebellion,Electronic Arts
SCEE,Sony Computer Entertainment
Page 44 Studios,Electronic Arts
FreeStyleGames,Activision
Mad Doc Software/Rockstar Vancouver,Take-Two Interactive
Blizzard North,Vivendi Games
Arika,Nintendo
Barnhouse Effect,Play It
Vigil Games,THQ
n-Space,Activision
Black Lantern Studios,Take-Two Interactive
Microsoft Game Studios,Microsoft Game Studios
Sega AM3,Sega
Tecmo,Sony Computer Entertainment
8ing/Raizing,Nintendo
Electronic Arts/EA Redwood Shores,Electronic Arts
Splash Damage,Bethesda Softworks
Studio Liverpool,Sony Computer Entertainment
Red Storm Entertainment/Ubisoft Paris,Ubisoft
Tantalus Interactive/Tantatus/Nintendo,Nintendo
Crystal Dynamics/Nixxes Software,Eidos Interactive
Avanquest Software,GSP
Bigbig Studios,Sony Computer Entertainment
EA Salt Lake,Electronic Arts
Longtail Studios,Ubisoft
Powerhead Games,Ubisoft
Epic Games/People Can Fly,Electronic Arts
Sega/Dimps Corporation,Sega
Koei,Nintendo
Hyde,Disney Interactive Studios
Project Aces,Atari
Team Ninja/Tecmo,Tecmo Koei
Razorworks Studios,Empire Interactive
989 Sports,Sony Computer Entertainment
UBlart Montpellier,Ubisoft
Free Radical Design,Ubisoft
DreamFactory,Sony Computer Entertainment
Incinerator Games,THQ
Route 1 Games,Ubisoft
Rockstar London,Take-Two Interactive
Ubisoft Toronto,Ubisoft
Double Fine Productions,Electronic Arts
Turtle Rock Studios,Take-Two Interactive
Giants Software,Focus Home Interactive
Vicarious Visions/Neversoft Entertainment,Activision
Blue Tongue Entertainment,THQ
Overworks,Sony Computer Entertainment
Monster Games Inc.,Nintendo
Atari,Unknown
Coresoft,Play It
SuperBot Entertainment,Sony Computer Entertainment
Ubisoft Reflections,Ubisoft
Monkey Bar Games,Koch Media
Alfa System,Sega
Buzz Monkey,Activision
Rockstar Vancouver,Take-Two Interactive
SCEA San Diego Studios,Sony Computer Entertainment
Neko Entertainment,Game Factory
Square Enix/h.a.n.d. Inc.,Square Enix
UDS,Ubisoft
KCE Studios,Konami Digital Entertainment
Titus Software,Titus
Black Ops Entertainment,Electronic Arts
ImaginEngine,THQ
Tantalus Interactive,THQ
Mistwalker/Artoon,Microsoft Game Studios
Marvelous AQL,Marvelous Entertainment
Xpec,Activision
Mistwalker,Microsoft Game Studios
Blitz Games Studios,THQ
KCEK,Konami Digital Entertainment
Sony Bend,Sony Computer Entertainment
RED Entertainment,Nintendo
FASA Studio,Microsoft Game Studios
Runecraft,TalonSoft
Big Huge Games,Electronic Arts
Media Molecule/United Front Games,Sony Computer Entertainment
SCi,SCi
Cooking Mama Limited,505 Games
Disney Interactive Studios,Disney Interactive Studios
Red Fly Studio,Atari
Cygames,Square Enix
Rage Software,Rage Software
Toolbox Design,Empire Interactive
Team 17,Sony Computer Entertainment
Dimps Corporation/Namco Bandai Games,Atari
Land Ho!,Ubisoft
Asobo Studio,THQ
Eutechnyx,Empire Interactive
Gearbox Software/3D Realms,Take-Two Interactive
Digital Anvil,Microsoft Game Studios
Treyarch/Sledgehammer Games,Activision
Marvelous Entertainment,Rising Star Games
EA Seattle,Electronic Arts
Big Blue Bubble Inc.,Scholastic Inc.
Indie Built,Microsoft Game Studios
Ludia Inc.,Ubisoft
Evolution Games,THQ
Atlus Co.,Atlus
Capcom/Pipeworks Software/Inc.,Capcom
Gevo Entertainment,Ubisoft
Gorilla Systems,Disney Interactive Studios
Guerilla Cambridge,Sony Computer Entertainment Europe
Marvelous,Ubisoft
Gorilla Games,THQ
Deibus Studios,Take-Two Interactive
Square Enix/Tri-Ace,Square Enix
Novarama,Sony Computer Entertainment
Sumo Digital/Playground Games,Microsoft Game Studios
Trilobyte,Virgin Interactive
Silicon Knights,Microsoft Game Studios
Digital Illusions,Vivendi Games
Kush Games/Visual Concepts,Take-Two Interactive
iNiS,Microsoft Game Studios
EA Canada/Nihilistic,Electronic Arts
Eden Studios,Electronic Arts
David A. Palmer Productions,THQ
Artificial Mind and Movement/Polygon Magic,Sega
Acclaim Studios Austin,Acclaim Entertainment
Tetris Online/Inc,Nintendo
Dancing Dots,Nobilis
Piranha Games,Electronic Arts
LucasArts/Red Fly Studio,LucasArts
Game Republic,Sony Computer Entertainment
Project Soul,Namco Bandai Games
Kouyousha,Big Ben Interactive
Propaganda Games,Touchstone
JGI Entertainment,Midway Games
Digital Extremes,Atari
Brownie Brown,Nintendo
Natsume,Rising Star Games
Arc System Works,Atlus
Takara,Atari
CyberConnect2/Racjin,Namco Bandai Games
Dearsoft,Codemasters
Paradox Development,Activision
2K Australia,Take-Two Interactive
Realism Ltd,Atari
Bandai,Namco Bandai Games
Human Soft,Activision
Jester Interactive,Jester Interactive
Equinoxe,Universal Interactive
Pacific Coast Power & Light,THQ
Koei/Omega Force,Tecmo Koei
id Software/Nerve Software,Activision
Eighting/Genius Sonority Inc.,Square Enix
Reality Pump,SouthPeak Games
Virtucraft,Majesco Entertainment
Illusion Softworks,Illusion Softworks
SCEA/Sims,Sony Computer Entertainment
Kalypso,Konami Digital Entertainment
Midway Studios - Los Angeles,Midway Games
Ubisoft Milan,Ubisoft
Fuse Games Limited,Nintendo
Pyramid,Atari
Hypnos Entertainment,Electronic Arts
Black Isle Studios,Interplay
Gaijin Entertainment,505 Games
Eden,Atari
Blue Fang Games,THQ
Sanzaru Games,Sony Computer Entertainment
Tomy Corporation,Tomy Corporation
Secret Level,Sega
Nerve Software,Activision
Trion Worlds,Unknown
BioWare/Demiurge Studios,Electronic Arts
Engine Software,505 Games
RED Entertainment/Artdink,Nintendo
Cunning Developments,Take-Two Interactive
